filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
fig3.png,MR,20C,219.34235976789174,42.87397225609425,12,-0.6625799509203366,12.376649711642282,sd,scatterplot
fig3.png,MR,24C,284.7074468085107,45.45878282854174,14,-0.15693243323307052,12.14937075458326,sd,scatterplot
fig3.png,MR,28C,350.7446808510639,77.17038435121621,5,0.26057932702890474,34.51164505182109,sd,scatterplot
fig4.png,MR,20C,219.07308377896604,41.18899059818291,12,0.24242891852376636,11.890237404754934,sd,scatterplot
fig4.png,MR,24C,281.66539343009924,43.54289669479946,14,-0.012607584621316538,11.637328647116503,sd,scatterplot
fig4.png,MR,28C,351.55080213903733,76.13290687152109,5,-0.7785330594385138,34.0476710178764,sd,scatterplot
fig3.png,otilith_age,20C,-8.151921903599757,0.3000123524516197,12,-0.6625799509203366,0.08660610622407777,sd,scatterplot
fig3.png,otilith_age,24C,-9.002237136465324,0.28991895054602435,14,-0.15693243323307052,0.07748409877687722,sd,scatterplot
fig3.png,otilith_age,28C,-10.038926174496643,0.4904015410418704,5,0.26057932702890474,0.21931423640805503,sd,scatterplot
fig4.png,Moto%,20C,19.31297709923665,9.25248553589779,12,0.24242891852376636,2.670962507411854,sd,scatterplot
fig4.png,Moto%,24C,23.882224645583435,4.281813859121341,14,-0.012607584621316538,1.1443628896266,sd,scatterplot
fig4.png,Moto%,28C,27.9083969465649,6.333946178448376,5,-0.7785330594385138,2.8326268441671165,sd,scatterplot
