site,Genus_species,Family,growthform,height,Country,Site,lat,long,hemisphere,altitude,temperature,rain.wettestmonth
148,Ceanothus_greggii,Rhamnaceae,Shrub,3,USA,California,33.383,-116,1,-71,22.9,12
114,Duguetia_surinamensis,Annonaceae,Tree,30,NA,NA,4.083,-52.667,1,174,24.9,503
221,Pedicularis_hirsuta,Orobanchaceae,Herb,0.08,Greenland,Zackenberg - salix,74.474,-20.536,1,37,-10.5,26
44,Banksia_hookeriana,Proteaceae,Shrub,2.02,Australia,NA,29.567,115.233,-1,94,20.2,108
130,Clidemia_sericea,Melastomataceae,NA,0.8,NA,NA,17,-89,1,371,23.9,214
167,Xanthium_occidentale,Asteraceae,Herb,1.15,Japan,NA,38.217,140.833,1,38,12.4,181
141,Sarcopoterium_spinosum,Rosaceae,Shrub,0.45,Israel,Lehavim,31.356,34.835,1,379,18.9,69
96,Bambusa_weberbaueri,Poaceae,Shrub,6,Peru,Los Amigos - Bamboo,12.566,-70.099,-1,256,24.8,470
207,Triglochin_palustre,Juncaginaceae,Herb,0.15,USA,"Alaska, Yukon delta",61.25,-165.5,1,1,-1.2,133
202,Betula_pendula,Betulaceae,Shrub,1.584893192,NA,NA,58.867,25,1,75,5.1,78
4,Festuca_gracillima,Poaceae,Herb,0.14,Argentina,Rio Turbio - heath,51.575,-72.312,-1,747,3.7,57
55,Eucalyptus_gillenii,Myrtaceae,Shrub,5,Australia,Alice - the gap,23.795,133.863,-1,701,20.9,37
102,_8324,NA,NA,2.5,Peru,Manu,12.183,-70.917,-1,350,24.8,397
25,Brunia_albifora,Bruniaceae,NA,3,South Africa,NA,34.317,19.917,-1,227,16.4,63
43,Eucalyptus_sp2,Myrtaceae,Tree,20,Australia,Armidale - Goonoowigal,29.815,151.121,-1,686,15.3,105
138,Acacia_berlandieri,Fabaceae - M,Shrub/Tree,6,Mexico,Linares - thornscrub,24.786,-99.515,1,354,22.6,154
22,Leucadendron_meridianum,Proteaceae,Shrub,1.7,South Africa,NA,34.583,19.917,-1,71,16.7,59
195,Cakile_edentula,Brassicaceae,Herb,0.2,Canada,Nova Scotia,44.683,-63.117,1,4,6.4,149
24,Eucalyptus_socialis,Myrtaceae,Tree,6,Australia,Adelaide - Brookfield Mallee,34.32,139.503,-1,95,16.2,30
88,Sclerolobium_paniculatum,Fabaceae - C,NA,3.8,Brazil,NA,15.933,-47.883,-1,1100,20.8,301
143,Carnegiea_gigantea,Cactaceae,Shrub,8,USA,Tucson - Sonoran desert,32.31,-110.739,1,971,18.9,71
92,Bridelia_micrantha,Phyllanthaceae,Tree,9,Zambia,Zambia - Mateshi,13.253,30.047,-1,1388,19.1,265
5,Senecio_filaginoides,Asteraceae,Herb,0.6,NA,Patagonia,45.417,-70,-1,500,9.6,23
171,Vulpia_microstachys,Poaceae,Herb,0.239,NA,NA,38.867,-122.417,1,646,13.5,182
48,Spirostachys_africanus,Euphorbiaceae,Shrub,4.5,South Africa,Zululand - Mbuzane,28.221,31.794,-1,161,21,116
67,Sesbania_grandiflora,Fabaceae - P,Tree,12,Fiji,a-ngau,17.917,178.65,-1,12,24.8,401
145,Ferocactus_cylindraceus,Cactaceae,Shrub,1.7,USA,Tucson,32.6,-111.233,1,690,20.5,57
172,Ipomopsis_aggregata,Polemoniaceae,NA,0.81,USA,Colorado,38.867,-106.967,1,2698,1.3,60
211,Picea_mariana,Pinaceae,Tree,13.5,USA,Alaska - Bonanza,64.769,-148.283,1,382,-4.3,57
198,Corema_conradi,Ericaceae,Shrub,0.5,Canada,Quebec,47.533,-61.7,1,1,4.9,110
149,Opuntia_acanthocarpa,Cactaceae,Shrub,0.72,USA,California,33.633,-116.4,1,900,16.7,46
147,Ludwigia_leptocarpa,Onagraceae,Herb/Shrub,1.5,USA,South Carolina,33.217,-81.75,1,54,17.5,123
42,Banksia_hookeriana,Proteaceae,Shrub,1.71,Australia,Western Australia,29.867,115.25,-1,79,20.1,117
